"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"厦门卢米埃影城（宝龙一城IMAX店）","22.620 ","11.770 ","266.2374","374"
"厦门万达影城（湖里万达广场店）","19.540
20.180
18.423","10.058
10.399
9.842","196.5333
209.8518
181.3191","291"
"厦门幸福蓝海国际影城（世茂广场IMAX店）   ","18.630 ","10.030 ","186.8589","251"
"厦门寰映影城（棕榈城店)","20.390 ","10.390 ","211.8521","230"
"厦门寰映影城（海上世界店)","26.510
24.473","14.200
14.272","376.4420
349.2786","383"
"厦门万达影城（SM广场店）三期店","22.040
21.186","11.791
11.620","256.1048
246.1813","350"
"厦门寰映影城（集美银泰店）
原厦门大地影城（国贸美岁天地店）","22.900
21.894","11.950
11.721","273.6550
256.6195","365"
"厦门横店电影城（海沧SM广场店）","18.890
18.000","10.150
10.000","191.7335
180.0000","270"
"厦门万达影城（集美万达广场店）","22.130
22.416
23.220
21.383","12.300
11.074
11.720
11.102","272.1990
248.2347
272.1384
237.3940","412"
"莆田万达影城（万达广场店）","21.510
21.710","11.306
11.332","243.1920
246.0177","348"
"泉州万达影城（万达广场店）","23.220 ","11.700 ","271.6740","416"
"石狮万达影城（世茂广场店)","25.160 ","13.500 ","339.6600","344"
"安溪金逸影城（宝龙店）","19.200 ","10.110 ","194.1120","346"
"晋江星轶IMAX影城（吾悦广场旗舰店）","19.830 ","10.200 ","202.2660","209"
"晋江万达影城（万达广场店）","21.600
22.960","11.200
11.740","241.9200
269.5504","357"
"漳州万达影城（台商区万达广场店）","22.480 ","11.800 ","265.2640","381"
"漳州金逸影城（红星店）","18.810 ","9.700 ","182.4570","249"
"漳州万达影城（万达广场店）","21.710
21.980
20.323","11.332
11.446
11.327","246.0177
252.0227
230.1986","347"
"宁德万达影城（万达广场店) ","21.100
22.960","11.800
11.700","248.9800
268.6320","305"
"龙岩万达影城（万达广场店)","  ","  ","  ","401"
"三明万达影城（万达广场店)","22.950 ","12.150 ","278.8425","376"
"南平万达影城（万达广场店）","22.140 ","11.600 ","256.8240","348"
"郑州CGV影城（大卫城店）","24.680
22.032","13.060
11.937","322.3208
262.9959","396"
"郑州万达影城（惠济万达广场IMAX店）","23.100
21.664","12.220
12.015","282.2820
260.2929","396"
"郑州CGV影城（正弘城店）","24.920
22.611","13.100
12.308 ","326.4520
278.2961","322"
"郑州儒意影城（二七万达广场IMAX激光店）
万达影城（二七万达广场IMAX激光店）","23.210
21.448","11.700
11.525","271.5570
247.1882","470
423"
"郑州CGV影城（信万广场店）
原郑州CGV影城（YOYOPARK店）","20.600
18.825","10.640
9.807","219.1840
184.6167","222"
"郑州金逸影城（高新大学城IMAX店)","17.603 ","9.337 ","164.3592","263"
"郑州万达影城（中原万达广场IMAX激光店）","22.850
20.842","11.761
11.295","268.7388
235.4103","353"
"郑州万象影城（郑东万象城IMAX激光店）","19.640
18.375","10.200
9.671","200.3280
177.7046","369"
"洛阳万达影城（万达广场IMAX激光店）","16.420
15.647","8.300
7.700","136.2860
120.4819","295"
"安阳万达影城（文峰万达广场IMAX店）","20.583 ","10.648 ","219.1677","400"
"三门峡万达影城（万达广场IMAX店） ","19.928 ","10.578 ","210.7983","402"
"焦作万达影城（万达广场IMAX店）","20.570
19.291 ","10.650
10.403","219.0705
200.6842","386"
"南阳万达影城（中泰广场IMAX店）","21.900
20.717","11.750
11.082","257.3250
229.5857","321"
"平顶山万达影城（万达广场IMAX店） ","21.030
19.370","10.930
10.750","229.8579
208.2275","375"
"新乡万达影城（万达广场IMAX店） ","21.470
20.236","11.200
9.821","240.4640
198.7377","359"
"鹤壁万达影城（万达广场IMAX店） ","19.290
19.233","10.590
10.548","204.2811
202.8696","350"
"商丘万达影城（睢阳万达广场IMAX店）","19.776 ","10.490 ","207.4502","387"
"开封万达影城（万达广场IMAX店） ","20.130
18.857","10.440
10.440","210.1572
196.8670","363"
"许昌万达影城（万达广场IMAX激光店）","20.750
18.757","11.200
10.194","232.4000
191.2088","357"
"成都万达影城（锦华万达广场店)","15.664 ","8.083 ","126.6121","280
254"
"成都影立方影城（东郊记忆773店）","23.220 ","12.680 ","294.4296","488"
"成都影立方影城（城南优品道广场店）","23.575 ","12.178 ","287.0964","436"
"成都CGV影城（金牛店）","21.250 ","10.900 ","231.6250","326"
"成都CGV影城（高新店）","23.510 ","12.380 ","291.0538","411"
"成都SFC上影影城（龙湖IMAX店)","21.185 ","11.025 ","233.5645","320"
"成都金逸影城（鹏瑞利IMAX店）","22.518 ","11.815 ","266.0501","504"
"成都SFC上影影城（科华IMAX店)","24.390
23.068","13.090
12.536","319.2651
289.1804","442"
"成都万达影城（蜀都万达广场店）","22.760
22.408","11.790
11.790","268.3404
264.1903","338"
"成都万达影城（简阳旭海广场店）","19.870 ","10.759 ","213.7813","312"
"成都万达影城（崇州万达广场店）","19.060 ","10.494 ","200.0156","396"
"成都幸福蓝海国际影城（仁和新城IMAX店） ","21.390 ","11.100 ","237.4290","404"
"成都万达影城（四六八广场店）","17.450
16.196","9.100
8.662","158.7950
140.2897","182"
"成都博纳国际影城（大悦城IMAX店)
原成都星美国际影城（大悦城店)","23.880
21.470","12.350
11.650","294.9180
250.1255","374"
"成都CGV影城（新都七一广场店)","23.920
22.082
21.865","12.600
11.750
11.655","301.3920
259.4635
254.8365","355"
"成都寰映影城（龙泉驿世茂广场店)","17.600
15.166","8.440
7.797","148.5440
118.2493","222"
"成都金逸影城（爱琴海IMAX店）","18.480
18.098
17.603","9.850
8.715
9.273","182.0280
157.7240
163.2326","285"
"成都寰映影城（大魔方广场店)","20.700
18.716
18.608","10.810
10.023
9.850","223.7670
187.5904
183.2888","240"
"成都中影紫荆国际影城4K激光IMAX（环球中心旗舰店）
原成都博纳院线环球中心旗舰店IMAX
原成都星美国际影商城（环球IMAX店)","22.580
23.970
22.465","12.550 
12.000
12.178","283.3790
287.6400
273.5787","453
498"
"成都万象影城（万象城IMAX激光店）B馆","22.730
22.904","12.020
11.835","273.2146
271.0668","394"
"成都金逸影城（和悦IMAX激光店)
原成都CGV影城（天府和悦广场店)","21.060 ","11.000 ","231.6600","295"
"成都博纳国际影城（天府大悦城店）","20.970 ","10.580 ","221.8626","374
340"
"成都英皇电影城（国金中心店）","23.220
21.068","12.050
11.243","279.8010
236.8675","407"
"成都中影紫荆国际影城4K激光IMAX（龙湖北城天街店)","23.220
21.241","12.050
11.217","279.8010
238.2602","352
287"
"成都寰时影城（光环IMAX店）","20.370
19.409","10.750
10.294","218.9775
199.7962","406"
"成都万达影城（金牛万达广场店）","21.180
21.970
21.108","10.980
11.550
10.928","232.5564
235.7535
230.6682","429
381"
"成都英皇电影城（新光天地店）","22.040
23.870
21.935","11.460
12.460
11.460","252.5784
297.4202
251.3751","386"
"成都CGV影城（金楠店）","20.680 ","11.120 ","229.9616","284"
"成都中影紫荆国际影城IMAX（锦宸天街店)","21.530 ","11.350 ","244.3655","380"
"成都熊猫基地IMAX影院","24.385 ","14.160 ","345.2916","428"
"绵阳金逸影城（奥莱IMAX店）","25.220 ","13.330 ","336.1826","396"
"绵阳万达影城（涪城万达广场店）","21.740 ","11.600 ","252.1840","311"
"广元万达影城（万达广场店）","  ","  ","  ","382"
"内江万达影城（万达广场店）","25.750
24.131","13.860
12.734","356.8950
307.2841","396"
"自贡星维国际电影城（南湖店)","23.630
22.117","12.350
11.820","292.0775
261.4229","524"
"自贡万达影城（万达广场店）","18.451 ","9.741 ","179.7911","371"
"泸州CGV影城（万象汇店）","  ","  ","","354"
"泸州万达影城（万达广场店）","20.900 ","10.850 ","226.7650","427"
"泸州金逸影城（天远广场店) ","25.760 ","13.670 ","352.1392","368"
"资阳万达影城（万达广场店）","  ","  ","  ","411"
"德阳万达影城（万达广场店）","23.630 ","12.430 ","293.7209","372"
"德阳金逸影城（五洲广场店）","20.340
19.950","10.510
10.660","213.7734
212.6670","362"
"乐山万达影城（万达广场店）","20.250 ","11.000 ","222.7500","360"
"乐山金逸影城（IMAX店）","21.280 ","11.080 ","235.7824","315"
"遂宁万达影城（万达广场店）","21.220 ","  ","  ","394"
"眉山万达影城（雕像国际广场店）","19.590 ","10.710 ","209.8089","246"
"达州横店电影城（IMAX罗浮店）","  ","  ","  ","235"
"雅安万达影城（万达广场店）","20.820 ","11.170 ","232.5594","422"
"宜宾万达影城（万达广场店）","20.760 ","10.770 ","223.5852","388"
"攀枝花万达影城（万达广场店）","","","","334"
"南充万达影城（临江万达广场店）
原南充万达影城（保利广场店）","21.331 ","11.510 ","245.5198","404"
"南昌万达影城（八一万达广场店）","16.500
15.314","8.090
8.201","133.4850
125.5901","277
268"
"南昌万达影城（万达文化旅游城店）","25.530
23.881","13.770
12.826","351.5481
306.2977","355"
"南昌星轶IMAX影城（青山湖吾悦广场旗舰店） ","17.830
16.987","9.430
9.389","168.1369
159.4909","312"
"南昌万达影城（西湖万达广场店）","20.600
19.300","10.690
10.546","220.2140
203.5378","395"
"南昌万达影城（青山湖万达广场店）","21.880
20.660","11.440
10.803","250.3072
223.1899","374"
"南昌万象影城（万象汇IMAX激光店）","17.980
16.926","9.440
8.995","169.7312
152.2493","245"
"南昌万达影城（红谷滩万达广场店）","20.590
21.980
21.590","12.190
11.470
11.620","250.9921
252.1106
250.8758","338
312"
"赣州CGV影城 （万象城店）","24.094 ","12.869 ","310.0656","479"
"赣州万达影城（经开万达广场店）","15.359 ","8.083 ","124.1467","255"
"赣州英皇电影城（杉杉奥特莱斯店) ","20.506 ","10.982 ","225.1968","344"
"宜春万达影城（万达广场店）","21.450 ","11.410 ","244.7445","398"
"新余金逸影城（光美抱石IMAX店） ","  ","   ","  ","352"
"上饶万达影城（万达广场店）","23.860 ","12.700 ","303.0220","351"
"抚州万达影城（万达广场店）","   ","   ","    ","406"
"九江万达影城（万达广场店）","22.630 ","11.720 ","265.2236","396"
"九江横店电影城（IMAX快乐城店）","20.120 ","10.550 ","212.2660","268"
"吉安金逸影城（金鑫瑞德IMAX店）","","","","396"
"景德镇横店电影城（IMAX九集小镇店）","","","","403"
"贵阳万达影城（观山湖万达广场店）","22.240 ","11.640 ","258.8736","281"
"贵阳万达影城（中大广场店）","18.920 ","9.910 ","187.4972","281"
"贵阳卢米埃影城（花溪店)","19.090 ","10.020 ","191.2818","231"
"贵阳CGV影城（印象城店) ","22.960
21.210","11.940
11.657","274.1424
245.9627","326"
"贵阳万达影城（云岩万达广场店) ","","","","434"
"贵阳万达影城（数博万达广场店) ","21.530 ","11.610 ","249.9633","331"
"贵阳博悦汇影城（壹号店) ","21.480 ","11.400 ","244.8720","263"
"贵阳越界影城（未来方舟店） ","32.160
26.806","18.170
15.989（地板到天花板高度17.904）","584.3472
428.6011","714
739"
"六盘水万达影城（万达广场店）","20.860 ","10.780 ","224.8708","411"
"南宁万达影城（印象城店)","  ","  ","  ","255"
"南宁万达影城（安吉万达广场店）","21.130 ","11.100 ","234.5430","341"
"南宁万达影城（万达茂店）","21.660 ","11.670 ","252.7722","384"
"南宁万达影城（江南万达广场店）","22.850 ","11.750 ","268.4875","359"
"南宁万达影城（青秀万达广场店）","22.760
21.069","11.670
11.057","265.6092
232.9599","412"
"南宁民族影城 （民族大道IMAX店）","25.760
21.517
24.980","13.150
12.527
13.150","338.7440
269.5734
328.4870","506
480"
"桂林万达影城（七星万达广场店）","20.951 ","11.200 ","234.6512","412"
"桂林万达影城（叠彩万达广场店）","19.050 ","10.750 ","204.7875","362"
"桂林万象影城（万象城IMAX激光店）","19.440
18.096","10.090
9.899","196.1496
179.1323","252"
"桂林万达影城（临桂万达广场店) ","19.210 ","10.210 ","196.1341","315"
"柳州万达影城（柳南万达广场店）","20.050 ","10.600 ","212.5300","394"
"柳州金逸影城（万象城店）","25.280 ","13.410 ","339.0048","393"
"柳州万达影城（城中万达广场店）","22.130 ","11.580 ","256.2654","362"
"贵港万达影城（万达广场店）","  ","  ","  ","359"
"玉林万达影城（万达广场店)","22.760 ","10.850 ","246.9460","365"
"玉林中影金城国际影院","18.120 ","9.460 ","171.4152","253"
"三亚万达影城（万达海棠湾店）","20.910 ","11.790 ","246.5289","295"
"海口星轶IMAX影城（龙华吾悦广场旗舰店）","25.360
24.980
23.672","13.670
13.820
12.822","346.6712
345.2236
303.5223","343"
"海口金逸影城（星海湾IMAX店）","20.118 ","10.615 ","213.5525","448"
"海口万达影城（海航日月广场店）","23.010
21.945","12.300
11.585","283.0230
254.2328","365"
"海口万达影城（秀英万达广场店）","19.279 ","10.212 ","196.8771","413"
"海口CGV影城（友谊阳光城店）","24.431 ","13.175 ","321.8784","402"
"海口博纳国际影城（龙湖天街激光IMAX店）","18.450
17.657","9.520
9.237","175.6440
163.0977","259"
"海口中视国际影城IMAX（国秀城店）
原中视国际影城（国兴店）","24.790 ","12.850 ","318.5515","449"
"西宁万达影城（海湖万达广场店）","  ","  ","  ","350"
"西宁万达影城（中发源时代广场店）","  ","  ","  ","342"
"乌鲁木齐万达影城（万达广场店）","  ","  ","  ","345"
"乌鲁木齐万达影城（德汇万达广场店）","  ","  ","  ","210"
"乌鲁木齐万达影城（高新区万达广场店）","20.230 ","10.440 ","211.2012","339"
"乌鲁木齐中影美美影城（MM3店）","24.970 ","13.150 ","328.3555","362"
"拉萨万达影城（万达广场店）","20.331 ","10.930 ","222.2178","392"
"拉萨SFC上影IMAX影城（原天海万达影城）","22.400 ","11.800 ","264.3200","404"
"澳门英皇戲院（澳門葡京人）","24.590
23.146","11.800
10.801","290.1620
249.9999","466"
"济南金逸影城（汇隆广场IMAX店）","  ","  ","  ","406"
"烟台CGV影城（长江路店）","  ","  ","  ","321"
"哈尔滨万达影城（群力财富广场店）","  ","  ","  ","298"
"哈尔滨CGV影城（红博中央公园IMAX店）","20.873 ","10.752 ","224.4264","377"
"苏州金逸影城（亿象城店）","19.100 ","11.240 ","215.5832（自测)","368"
"苏州耳东影城","  ","  ","  ","359"
"无锡橙天嘉禾影城（万象城店)","21.000 ","12.000 ","252.0000","435"
"无锡CGV影城（盛岸店）","21.200 ","11.700 ","248.0400","380"
"南通万达影城（五洲广场店）","  ","  ","  ","278"
"南通万达影城（星光耀广场店）","  ","  ","","301"
"重庆万象影城（弹子石万象汇IMAX激光店）","24.520 ","12.900 ","316.3080","294"
"重庆越界影城（江北嘴店）","20.160 ","10.680 ","225.9888","329"
"重庆金逸影城（星光时代店)","21.390
22.490","12.100
12.250","258.8190
275.5025","332"
"重庆越界影城（大学城店）","22.940 ","11.930 ","273.6742","445"
"重庆市少年宮影院","18.000 ","","","175"
"重庆科技馆","21.970 ","16.000 ","351.5200","270"
"重庆百丽宫影城（IMAX万象城店）后续待定","23.740 ","12.640 ","300.0736","456"
"北京中国科技馆","29.580 ","21.930 ","648.6894","632"
"沈阳CGV影城（金融中心店）","  ","  ","  ","420"
"沈阳金逸影城（龙之梦店）","    ","  ","  ","498"
"广州泛洋国际影城","  ","  ","  ","435"
"广州广东科学中心","28.980 ","22.000 ","637.5600","610"
"深圳橙天嘉禾影城（观澜湖店）","22.780 ","11.930 ","271.7654","374"
"深圳星美国际影商城（京基店）","21.080 ","11.160 ","235.2528","325"
"深圳博纳国际影城（海航城IMAX店）","23.070 ","11.740 ","270.8418","473"
"深圳中影国际影城（欢乐海岸店）","  ","  ","","326"
"深圳英皇UA电影城（深业上城店）","  ","  ","  ","387"
"深圳博纳UA影城（KK Mall店）","21.640 ","11.610 ","251.2404","327"
"佛山越界思哲影城（三水新动力店)","23.420 ","12.410 ","290.6422","359"
"佛山CC影城（永旺IMAX店) ","  ","  ","  ","381"
"佛山中视国际影城（富弘广场店) ","  ","  ","  ","380"
"佛山CGV星星影城（星耀101店） ","20.821 ","10.819 ","225.2620","440"
"江门CGV影城（蓬江店）","  ","  ","  ","269"
"武汉万达影城（汉街万达广场店） 原有商业综合体拆除","19.850 ","11.060 ","219.5400","331"
" 武汉UA新民众乐园电影城
（原武汉环艺新民众乐园电影城) ","20.410 
19.070","11.096 
9.980 ","226.4472 
190.3186","648
291"
"武汉CGV影城（光谷店）","20.460 ","11.430 ","233.8570","328"
"武汉CGV影城（江腾店）","20.020 ","10.480 ","209.8096","239"
"武汉博纳国际影城（银泰店）","21.310 
23.100","12.120 
12.120","258.2772 
279.9720","377"
"武汉华谊兄弟影院（光谷店）","19.830
20.000","10.070
10.810","199.6881
216.2000","417"
"长沙泰禾影城（开福IMAX店）","  ","  ","  ","361"
"长沙金逸影城（福晟IMAX店）","  ","  ","  ","305"
"长沙CGV影城（星沙店）","  ","  ","  ","298"
"杭州佳映国际影城（五洲国际广场店） ","  ","  ","  ","411"
"杭州海上明珠国际影城（滨江店)","18.530 ","10.010 ","185.4853（自测）","340"
"杭州德纳国际影城（萧山IMAX店）","  ","  ","  ","342"
"杭州金逸影城（影视中心IMAX店）","20.710 ","10.800 ","223.6680","356"
"宁波CGV影城（文化广场店）","21.670 ","11.900 ","257.8730","416"
"宁波星美国际影城（奥特莱斯店）","  ","  ","","368"
"天津中影国际影城（和平津湾店）","21.300 ","12.100 ","257.7300","377"
"天津农垦博纳国际影城 ","20.540 ","11.180 ","229.6372","406"
"石家庄CGV影城（中冶IMAX店）","","","","290"
"贵阳星美国际影城（花果园店）","  ","  ","  ","432"
"玉林金逸影城（凤凰广场店） ","  ","  ","  ","380"
"成都万达影城（城中城店）","16.310 ","8.660 ","141.2446","204"
"成都中视国际影城 IMAX（铁建店）","  ","  ","  ","306"
"成都CGV影城（龙泉驿店) ","20.520 ","10.610 ","217.7172","311"
"成都中影紫荆国际影城（IMAX天府环宇坊店）","16.630 ","8.610 ","143.1843","253"
"成都CGV影城（犀浦店)","19.500 ","10.060 ","196.1700","211"
"郑州CGV影城（高新店）","24.930 ","13.450 ","335.3085","366"
"福州星美国际影城（王庄店）","25.800 ","13.560 ","349.8480","557"
"福州海艺影城","20.390 ","10.590 ","215.9301","475"
"芜湖万达影城（华强广场店）","  ","  ","  ","346"
"铜陵万达影城（北斗星城广场店）","   ","  ","","348"
"安庆SFC上影影城（百联店）","  ","  ","  ","461"
"温岭0090 IMAX影城","  ","  ","  ","512"
"西安大明宫IMAX影院","21.336 ","12.000 ","256.0000","293"
"西安长安国际影城（凯德广场IMAX店)","21.820
20.446","11.590
11.175","252.8938
228.4840","283"
"呼和浩特CGV影城（中山店）","  ","  ","","367"
"临汾万达影城（新百汇广场店）","  ","  ","  ","331"
"厦门金逸影城（明发IMAX店）","24.177 ","11.429 ","276.3189","396"
"宝鸡金逸影城（西建国际IMAX店）","19.300 ","10.650 ","205.5450","376"
"上海科技館","23.000 ","","","280"
"上海科技馆","24.320 ","18.310 ","445.2992","441"
"上海上影虹桥临空国际影城","16.740 ","9.350 ","156.5190（自测）","240"
"上海和平影都（改成普通影厅）","19.900 ","16.000 ","318.4000","358"
"上海幸福蓝海国际影城（香溢花城IMAX店）","17.360 ","8.840 ","153.4624","247"
"上海海上明珠国际影城（大宁店）","20.200 ","10.910 ","220.3820","340"
"温州万达影城（南塘店)","21.920 ","11.410 ","250.1072","310"
"大庆幸福蓝海国际影城（松雷广场店）","  ","  ","  ","407"
"南京新街口国际影城（德基广场IMAX店)","22.810 ","12.048 ","274.8149","398"
"南京科技館","21.000 ","","","234"
"宜春大地影院（润达国际IMAX店)","  ","  ","  ","411"
"南宁永恒·晶钻影城","21.330 ","11.820 ","252.1206","399"
"南宁万达影城（嘉佑城店）","20.920 ","10.990 ","229.9108","201"
"中山CGV星星影城（兴中广场店）","20.970 ","10.862 ","227.7761","348"
"中山CGV影城（小榄百汇店）","24.090 ","13.370 ","322.0833","344"
"中山博纳国际影城（古镇店)","20.390
19.214","10.470
9.977","213.4833
191.6980","333"
"海口中视国际影城（喜盈门店）","","","","368"
"三亚中视国际影城","21.865 ","11.459 ","250.5510","380"
"昆山保利国际影城（文化艺术中心店)","  ","  ","  ","340"
"吉林万达影城（华业广场店）","  ","  ","","328"
"淮北金逸影城（IMAX店）","20.990 ","11.070 ","232.3593","440"
"遵义金逸影城（方圆荟·日月星IMAX店) ","","","","378"
"北海大地影院（宁春城店）","20.020 ","10.510 ","210.4102","278"
"长沙CGV影城（岳麓店）","  ","  ","  ","398"
"汕头星城影院（正大卜蜂中心店)","18.400 ","10.210 ","187.8640","328"
"太原时代影城IMAX（华景天地店）
原太原泰禾影城","19.800 ","10.350 ","204.9300","261"
"大慶市科學技術館","18.000 ","","","120"
"连云港星轶IMAX影城（民主路文化街旗舰店）","20.760 ","10.800 ","224.2080","250"
"基隆國立海洋科技博物館","28.400 ","22.000 ","624.8000","300"
"大连SFC上影影城（百年港湾店) ","19.960 ","11.070 ","220.9572","312"
"常州幸福蓝海国际影城（嘉禾店）
原常州幸福蓝海橙天嘉禾影城","24.080 ","13.597 ","327.4158","552"
"香港機場UA IMAX影院","22.400 ","13.800 ","309.1200","350"
"香港香港太空館","23.000 ","","","270"
"昆明云南昆明摩天激光IMAX影院
（原昆明大都LCC光魔雷射影院）","23.000
23.100
23.337","21.000
17.370
15.887","483.0000
401.2470
370.7549","363"
"泉州保利万和CFR国际影城（IMAX店）
原泉州泰禾影城（东海店） ","  ","  ","  ","333"
"扬州上影四方国际影城","21.900 ","11.880 ","260.1720","282"
"合肥华谊兄弟影院（武里山天街店）","21.610
21.300","11.490
8.050","248.2989
171.4650","385"
"北京华谊兄弟影院（洋桥店）","19.840
19.840","10.680
10.870","211.8912
215.6608","321"
"晋中华谊兄弟影院 （奥莱店)","23.300 ","13.300 ","309.8900","462"
"廊坊华谊兄弟影城（燕郊天洋城店）","16.890
16.200","8.620
9.100","145.5918
147.4200","256"
