"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"南京星轶IMAX影城（雨花吾悦广场店）","19.990
18.700","10.000
9.842","199.9000
184.0454","394"
"南京万达影城（浦口白马店) ","17.530
16.768","9.360
9.043","164.0808
151.6330","214"
"南京卢米埃IMAX影城（龙蟠汇激光店)","21.390 ","11.150 ","238.4985","338"
"南京幸福蓝海国际影城（江北虹悦城IMAX店)","20.840
19.903 ","11.200
10.411","233.4080
207.2101","322"
"南京幸福蓝海国际影城（金陵天地IMAX店）","20.390 ","10.590 ","215.9301","278"
"南京海上明珠国际影城（雨花客厅店）没钱秘钥被停","23.710 ","12.250 ","290.4475","427"
"苏州幸福蓝海国际影城（石路IMAX店）","26.090
24.034","13.860
13.150","361.6074
316.0471","402"
"苏州万达影城（平江万达广场店）","19.580 ","10.389 ","203.4166","342"
"苏州万达影城（吴中万达广场店）","22.520
21.035","11.790
11.369","265.5108
239.1469","376"
"苏州幸福蓝海国际影城（绿宝店）","24.060
22.528","12.820
12.079","308.4492
272.1157","347"
"苏州幸福蓝海国际影城（文体中心IMAX店）","22.780
21.371","12.150
11.337","276.7770
242.2830","313"
"苏州CGV影城（中心店）","23.380
21.211","12.240
11.566","286.1712
245.3264","294"
"苏州万达影城（奥体中心店)","16.600 ","9.210 ","152.8860","310"
"苏州万达影城（新湖广场店)","17.075 ","9.447 ","161.3075","271"
"苏州苏州湾影城IMAX","21.550
20.559","11.410
10.763","245.8855
221.2765","272"
"苏州CGV影城（大悦城店) ","18.020
16.753","9.240
8.852","166.5048
148.2975","213"
"苏州星光嘉映影城（IMAX龙湖天街相城店）","20.530
19.578","10.950
10.880","224.8035
213.0086","300"
"苏州苏艺影城（艺术中心IMAX激光店)","21.336
22.420
21.353","13.345
11.950
11.836","284.7289
267.9190
252.7341","384"
"太仓幸福蓝海国际影城（华发IMAX店）","21.640
20.655","11.670
10.884","252.5388
224.8090","323"
"太仓万达影城（万达广场店）","22.140
20.700
20.713","12.600
11.580
11.093","255.7800
239.7060
229.7693","363"
"昆山万达影城（万达广场店)","19.327 ","10.473 ","202.4116","363"
"昆山万象影城（万象汇IMAX激光店) ","23.840
21.973","12.300
11.637","293.2320
255.6998","443"
"张家港幸福蓝海国际影城（IMAX店）","24.700
24.490","14.850
13.171","366.7950
322.5577","402"
